Element Symbol,symmetry,volume,Compounds
Y,P6_3/mmc,67.55562608311241,"['YIr', 'YSb', 'YCl', 'YCu2', 'YPd2', 'Yb3Y', 'YFe5', 'Sm3Y', 'YSi', 'YB2', 'Pr2Y', 'YTe', 'YAu2', 'YAs3', 'YRu2', 'YZn5', 'Ac3Y', 'CeY', 'YAg', 'YSn', 'YC', 'YGa3', 'YCo5', 'Nd2Y', 'YTe2', 'YAs', 'YAg2', 'YMg149', 'YCd2', 'YNi5', 'YC2', 'YCd', 'YSc', 'YEr3', 'YAg3', 'YCu', 'YS', 'YPd3', 'Dy3Y', 'YHg3', 'YHo', 'YHg2', 'YZn2', 'YGa6', 'YCo3', 'Nd3Y', 'YGe2', 'YO', 'SrY', 'YMg3', 'YZn12', 'YRh', 'YZn', 'YMg2', 'YSe2', 'YFe2', 'YO2', 'YSi3', 'YRe2', 'YIn', 'Gd3Y', 'YF3', 'YLu3', 'YTl3', 'YMn2', 'YMg7', 'YSi2', 'YNi3', 'YTm3', 'KY', 'YRh5', 'YMn12', 'YGa2', 'YEr', 'YOs2', 'YHo3', 'YTc2', 'YH3', 'Y', 'YAl3', 'PmY', 'YCu5', 'YB6', 'YOs3', 'K3Y', 'Rb3Y', 'YI3', 'YN', 'YBr2', 'YZr', 'Tb3Y', 'YP', 'Ce3Y', 'YCo', 'YAu', 'YMg15', 'YSn3', 'YMg5', 'LaY', 'YTh', 'YTi', 'CsY', 'YAl', 'YCl3', 'YPb3', 'Ca3Y', 'YFe3', 'YO3', 'YMg', 'YBi3', 'YI', 'YPt3', 'YFe12', 'PrY', 'Eu3Y', 'YPu3', 'YSb2', 'YTl', 'YNp3', 'YRu3', 'YIn3', 'Pr3Y', 'YU3', 'Li3Y', 'YRh3', 'Pm3Y', 'Ba3Y', 'YBr3', 'YIr3', 'YHg', 'YP5', 'YB4']"
Zr,P6_3/mmc,46.99931887465835,"['Mg7Zr', 'ZrTi3', 'ZrRu2', 'ZrF4', 'ZrBr3', 'ZrP3', 'ZrNi5', 'ZrS3', 'ZrGa3', 'La3Zr', 'K3Zr', 'ZrH', 'ZrCl2', 'ZrPt3', 'ZrN', 'GdZr', 'Mg149Zr', 'ZrBe5', 'ZrB6', 'ZrI4', 'ZrCu3', 'ZrSb3', 'ZrBe2', 'ZrI2', 'ZrCu5', 'LuZr', 'ZrZn3', 'ZrS2', 'ZrTi', 'ZrGa', 'Mg15Zr', 'ZrS', 'ZrSn', 'ZrPd2', 'ZrHg3', 'TbZr', 'ZrB2', 'ZrMn2', 'ZrSc2', 'Na3Zr', 'Nd3Zr', 'ZrNi3', 'ZrOs2', 'Yb3Zr', 'ZrCl', 'Sr3Zr', 'ZrMn3', 'ErZr', 'ZrPd', 'ZrSb', 'ZrV2', 'MgZr', 'Rb3Zr', 'ZrAu', 'Mg3Zr', 'ZrH2', 'ZrBr2', 'TmZr', 'ZrN2', 'Zr', 'ZrAl2', 'ZrCd3', 'ZrRe2', 'Pm3Zr', 'ZrTe', 'HoZr', 'ZrAu2', 'ZrIn2', 'ZrTe2', 'ZrSi', 'ZrCo3', 'ZrCl3', 'ZrOs3', 'Ho3Zr', 'DyZr', 'ZrIn', 'Pr3Zr', 'ZrIr3', 'ZrU3', 'ZrHg', 'PmZr', 'Ac3Zr', 'ZrP', 'ZrSe', 'ZrRh', 'ZrCr2', 'ZrPb', 'ZrCu', 'ZrAg2', 'ZrSn3', 'NdZr', 'SmZr', 'ZrBr4', 'ZrAg', 'ZrCl4', 'YZr', 'ZrC', 'ZrBr', 'ZrTc2', 'ZrAs', 'HfZr', 'ZrNp3', 'Pu3Zr', 'ZrCd', 'ZrRu3', 'Sm3Zr', 'ZrPt', 'ZrI3', 'Dy3Zr', 'ZrO2', 'ZrIn3', 'ZrIr', 'Tb3Zr', 'ZrRu', 'ZrSe3', 'ZrSe2', 'ZrPt8', 'ZrTe3', 'ZrB', 'Eu3Zr', 'ZrFe2', 'ZrOs', 'K2Zr', 'ZrPd3', 'ZrSc', 'PuZr', 'ZrO', 'ZrTi2', 'ZrAl3']"
Nb,Im-3m,18.258066615716924,"['U3Nb', 'Pr3Nb', 'NbPt3', 'Sc3Nb', 'NbRh3', 'NbO', 'NbCo3', 'NbIr3', 'NbO3', 'NbSb2', 'Mg3Nb', 'Nb', 'NbI4', 'Mn2Nb', 'Be12Nb', 'Th3Nb', 'NbSe3', 'NbPd3', 'NbGe2', 'NbCo2', 'NbS2', 'Pa3Nb', 'NbH2', 'NbFe', 'NbAl3', 'Mg7Nb', 'NbRh', 'NbO2', 'NbSb', 'NbCr2', 'NbSi2', 'ScNb', 'Mg15Nb', 'NbCl4', 'Li3Nb', 'Sr3Nb', 'Ac3Nb', 'NbFe2', 'NbGa3', 'NbF5', 'NbCd3', 'NbTe2', 'NbNi', 'NbP2', 'NbAs2', 'Be2Nb', 'NbFe3', 'K3Nb', 'NbF4', 'NbB2', 'NbC', 'NbH', 'NbP', 'NbAs', 'NbRu', 'NbRu3', 'NbAs3', 'NbZn2', 'La3Nb', 'NbRh2', 'NbN', 'Rb3Nb', 'NbCl5', 'NbNi2', 'Yb3Nb', 'NbSe4', 'NbS3', 'NbPt2', 'Mg149Nb', 'NbI3', 'NbTe4', 'NbIr', 'NbF3', 'NbSe2', 'Be3Nb', 'NbNi3', 'NbI5', 'NbBr5', 'NbBr4', 'NbSn3', 'Na3Nb', 'NbH4', 'NbZn3', 'NbPd', 'NbCr3', 'NbPt4', 'NbOs3', 'NbS', 'NbPd4', 'Ba3Nb', 'NbCo', 'Ti3Nb', 'NbAu4', 'NbTe', 'Eu3Nb', 'NbAu2']"
Mo,Im-3m,15.89162790660502,"['Si3Mo', 'Rb3Mo', 'Mg7Mo', 'B3Mo', 'Tc3Mo', 'MoRh3', 'MoF6', 'Sb3Mo', 'Bi3Mo', 'Re3Mo', 'MoCl6', 'Fe4Mo', 'MoN2', 'Sn2Mo', 'Ge3Mo', 'Ac3Mo', 'K3Mo', 'Eu3Mo', 'MoSe2', 'MoCl4', 'MoPd', 'Zn6Mo', 'Al5Mo', 'MoS2', 'U2Mo', 'MoC', 'Mg149Mo', 'MoRh', 'B2Mo', 'UMo', 'MoN', 'MoIr3', 'MoP2', 'Hf4Mo', 'Pa3Mo', 'Ge2Mo', 'Ba3Mo', 'VMo', 'MoRu3', 'TeMo', 'Be12Mo', 'Si2Mo', 'MoBr3', 'MoH', 'MoS3', 'MoP4', 'Al12Mo', 'Mo', 'MoPt', 'CoMo', 'Sr3Mo', 'MoIr', 'MoPb3', 'Ni3Mo', 'MoO4', 'Zn7Mo', 'Mg3Mo', 'MoCl3', 'V3Mo', 'Fe3Mo', 'Be13Mo', 'MoO2', 'MoOs', 'SiMo', 'MoI3', 'MoPd4', 'Fe2Mo', 'Be22Mo', 'Na3Mo', 'MoF4', 'MoF3', 'MoAs2', 'Al3Mo', 'MoCl5', 'Mg15Mo', 'MoF5', 'MoO3', 'Yb3Mo', 'MoPt3', 'BMo', 'MoP', 'MoPb', 'Te2Mo', 'MoRu', 'MoO5', 'MoP3', 'MoSe', 'MoPd3', 'Co3Mo', 'Rb2Mo', 'MoIr4', 'Sn3Mo', 'Zr4Mo', 'Li3Mo', 'Be2Mo', 'B4Mo', 'Th3Mo']"
Tc,P6_3/mmc,28.503381002021815,"['SiTc', 'Tc(ClO)6', 'MnAl2Tc', 'TlZn2Tc', 'Ti2MnTc', 'Be3Tc', 'Al12Tc', 'CaTcO3', 'TcRu', 'TiTc', 'TlTcIr2', 'Ga3Tc', 'Cs2TcF6', 'TcBr4', 'Nb2ReTc', 'Tc(Br3N)2', 'TcRh3', 'Al4Tc', 'Cs2TcI6', 'TcGe3', 'PuTcB2', 'Er2TcAg', 'TcRu3', 'Mg16Al12Tc', 'Al2TcPd', 'Sr2TcO4', 'Tc(NF3)2', 'Hf2ZnTc', 'TcPt3', 'TcP4', 'Nb2TcRu', 'Zr2TcOs', 'TaTcPb2', 'TcPt', 'TcSnSe', 'CrTcO3', 'NbTc', 'Tc(I3O)2', 'Ti2AlTc', 'TcB2', 'TcI4', 'Ho2MgTc', 'TaTc', 'Ta2TcOs', 'UTcO3', 'CoTc', 'Ta2ReTc', 'Hf2TcNi', 'CuTcBi', 'Na3Tc', 'TcOF4', 'TcN', 'Zr2TcRu', 'Zn7Tc', 'K2TcH9', 'TlTcO3', 'Tc(Br3O)2', 'ReTc', 'TcB', 'TcNiW', 'TcB4', 'Sc3Tc', 'Ho2ZnTc', 'K2TcCl6', 'TcC', 'TcW', 'CaTcN3', 'TcIr', 'Sc2ZnTc', 'Rb3Tc', 'TcF6', 'TcAg3', 'TcF3', 'LiTh2Tc', 'Tc(NCl3)2', 'TlTcO2', 'CaTaTc', 'TcCl3', 'TcRh', 'MnAlTc', 'Cs2TcCl6', 'Zr2TcNi', 'Tc', 'BeTcSe', 'MnTcPd', 'Th2CuTc', 'Hf2TcIr', 'TcIr3', 'SrTcN3', 'TcBi3O8', 'Zr2CuTc', 'Tc(CO)5', 'TcNi', 'BaTcO3', 'VTc', 'K2TcBr6', 'K2TcF6', 'Zr2TcRh', 'Re3Tc', 'TcO3F', 'Mg3Tc', 'Hf2TcPd', 'TcN2', 'TcAgO2', 'LaTcN3', 'K3Tc', 'TcS2', 'Nb2Tc', 'Hf2CuTc', 'TcSnO3', 'Er2CuTc', 'Rb2TcCl6', 'TcO2F3', 'Ti2FeTc', 'NpTcO3', 'TcBr3', 'Rb2TcI6', 'Be13Tc', 'TcP3', 'Mg3TcH7', 'MnTcOs', 'Sc2GaTc', 'K2Tc', 'TcF4', 'TcW2C', 'ZnTcMo', 'Na2TcF6', 'Zr2TcIr', 'Mg149Tc', 'SrTcO3', 'Lu2CdTc', 'K2Tl6Tc', 'LiTcO3', 'K2TcI6', 'Ti2GaTc', 'KTcO2', 'TcMo', 'Li2TcO3', 'EuTcO3', 'Eu3Tc', 'TcAs3', 'YbTcO3', 'KTcO3', 'TcOs3', 'U2Tc', 'Ta2TcRu', 'HfTc', 'TcO2', 'ZrTcCl', 'Zr2FeTc', 'TcNO2', 'Tm2TcAg', 'Li3Tc', 'Nb2TcOs', 'TcCl4', 'YTcN3', 'GaTc', 'NaTcO3', 'Er2MgTc', 'Al6Tc', 'Al3Tc', 'TcIrOs', 'Pa3Tc', 'Ti2BeTc']"
Ru,P6_3/mmc,27.10235367049707,"['K3RuF6', 'Ta3Ru', 'Te2Ru', 'Yb2Ru', 'ThRu', 'TcRu', 'Be3Ru', 'Cr3Ru', 'Cd4RuN4', 'Ag3Ru', 'BRu', 'Tb3Ru', 'PrSi2Ru', 'RuN2', 'Cu3Ru', 'ScRu', 'Si4P4Ru', 'GeRu', 'K3RuF12', 'Te4Mo2Ru', 'NdSi2Ru', 'Dy2Ge2Ru', 'Tl3Ru', 'RuO4', 'Er3RuI3', 'Lu3Ru', 'Co4Ru', 'RuW', 'PRu', 'RuI', 'Tc3Ru', 'RuO2', 'Be2Ru', 'GaRu', 'Rb3Ru', 'Ce3Ru', 'RuBr3', 'Y3Ru', 'RuRh4', 'AsPRu', 'SiRu', 'TiRu', 'Nd2Ge2Ru', 'Pu3Ru', 'Mo2RuSe4', 'Pr2Ge2Ru', 'Er3Ru', 'HfRu', 'RuF4', 'Mg2Ru', 'Pr3Ru', 'MnRu', 'Nd4Ru', 'Mo4Ru', 'Sn2Ru', 'Na3Ru', 'KRuN', 'Sc3RuC4', 'RuRh3', 'Dy3Ru', 'RuF3', 'CeSi2Ru', 'Ga2Ru', 'Th4Ru', 'As2Ru', 'Sc2Si2Ru', 'La3Ru', 'Sn3Ru', 'Nd3Ru', 'NiRu', 'Ho2Ge2Ru', 'V3Ru', 'P4Ru', 'VRu', 'La4Ru', 'NdSi3Ru', 'OsRu', 'Sm3Ru', 'NaRuO2', 'Pr3RuBr3', 'CrRu', 'NiSb6Ru', 'Al12Ru', 'AsRu', 'IrRu', 'Ru(N2Cl)3', 'RuSe2', 'PdRu', 'P3Ru', 'Mg3Ru', 'Ho3Ru', 'V4Ru', 'Zn6Ru', 'NbRu', 'RuF5', 'AlRu', 'Nb2Ru', 'RuN', 'Ni4Ru', 'LaGe3Ru', 'RuPt', 'Tm3Ru', 'ThSi3Ru', 'RuRh', 'Ce4Ru', 'LaSi2Ru', 'Ru', 'YbRu', 'Al6Ru', 'Si2Ru', 'Ru(IN3)2', 'Pr4Ru', 'P2Ru', 'B2Ru', 'SbAsRu', 'Mo2Ru', 'LaSi3Ru', 'Rb3RuF12', 'RuAu3', 'Be8Ru', 'Y3RuI3', 'RuCl3', 'K3Ru', 'MoRu', 'Mg149Ru', 'Al3Ru', 'Sb2Ru', 'Ti4Ru', 'Nb3Ru', 'Y2Ge2Ru', 'ZrRu', 'La3RuI3', 'Al2Ru', 'RuS2', 'Ba3RuF6', 'Zn3Ru', 'Nd3RuO7', 'Ga3Ru', 'PuRu', 'FeRu', 'RuF6', 'LuRu', 'Er2Ge2Ru', 'Si3Ru', 'In3Ru', 'Sm4Ru', 'CeSi3Ru', 'RuC', 'Co3Ru', 'SbRu', 'Re3Ru', 'Na3RuO4', 'Pr3RuI3', 'Ir3Ru', 'Li7RuO6', 'TaRu', 'CoRu']"
Rh,Fm-3m,13.782780337825384,"['NiRh', 'Nb3Rh', 'Tb4Rh', 'RhN2', 'Re3Rh', 'P3Rh', 'CeRh', 'RhO3', 'Sm4Rh', 'Co3Rh', 'RhN3', 'P2Rh', 'Y4Rh', 'Ti2Rh', 'AsRh', 'BiRh', 'Sb3Rh', 'Lu4Rh', 'RhF3', 'RhPb', 'GdRh', 'LaRh', 'GeRh', 'Pt3Rh', 'RhPb2', 'Tb3Rh', 'Zr3Rh', 'RhS', 'RhC', 'RhS2', 'Th3Rh', 'Ca2Rh', 'Be3Rh', 'SnRh', 'RhI3', 'Nd4Rh', 'V3Rh', 'RhBr', 'SbRh', 'Pu4Rh', 'PdRh', 'Bi4Rh', 'Ge3Rh', 'DyRh', 'Sb2Rh', 'RhBr3', 'Ga3Rh', 'BRh', 'Tc3Rh', 'NbRh', 'HfRh', 'MoRh', 'Eu3Rh', 'Cu3Rh', 'Cr3Rh', 'HRh', 'As3Rh', 'TeRh', 'Ge4Rh', 'Rb3Rh', 'Ru3Rh', 'Ca4Rh', 'ThRh', 'Er3Rh', 'CoRh', 'Dy4Rh', 'Mg2Rh', 'Sm3Rh', 'LiRh', 'Bi3Rh', 'YRh', 'CuRh', 'Ho4Rh', 'ErRh', 'Ag3Rh', 'Ca5Rh', 'Li3Rh', 'YbRh', 'Er4Rh', 'TcRh', 'PtRh', 'Hf2Rh', 'VRh', 'RhSe2', 'RhI2', 'As2Rh', 'MnRh', 'TiRh', 'Ir3Rh', 'SiRh', 'Ba4Rh', 'Mg3Rh', 'CrRh', 'Sn3Rh', 'Mg149Rh', 'RhO2', 'AgRh', 'TmRh', 'Zr2Rh', 'Zn13Rh', 'Hg2Rh', 'Hg3Rh', 'ScRh', 'Tm4Rh', 'IrRh', 'ZrRh', 'FeRh', 'ZnRh', 'In3Rh', 'RhF5', 'Sr4Rh', 'Zn3Rh', 'Yb4Rh', 'Na3Rh', 'Y3Rh', 'Te2Rh', 'RhN', 'Rh', 'Bi2Rh', 'RuRh', 'HoRh', 'InRh', 'K3Rh', 'RhCl3', 'MgRh', 'RhI', 'La4Rh', 'Sn4Rh', 'RhCl2', 'BeRh', 'Mn3Rh', 'RhSe', 'Pd3Rh', 'TbRh', 'Dy3Rh', 'Fe3Rh', 'SmRh', 'AlRh', 'LuRh', 'Ni3Rh', 'RhF6', 'Pr4Rh', 'Sn2Rh', 'Sr2Rh', 'GaRh']"
Pd,Fm-3m,15.02799459406926,"['Zn3Pd', 'CrPd', 'Mg5Pd', 'Y3Pd', 'PdC', 'PdW', 'Ga5Pd', 'PdF2', 'Eu4Pd', 'Yb3Pd', 'TbPd', 'Rb2Pd', 'Fe3Pd', 'HgPd', 'In3Pd', 'HfPd', 'Ba4Pd', 'Li3Pd', 'Fe2Pd', 'Zn2Pd', 'Be5Pd', 'TmPd', 'MnPd', 'PdAu3', 'MoPd', 'IrPd', 'SnPd', 'PdRh', 'ErPd', 'PdPt', 'PdPb', 'PdPb2', 'Ag3Pd', 'Be3Pd', 'AlPd', 'PdS2', 'GePd', 'PuPd', 'PdF3', 'Al2Pd', 'Ca4Pd', 'ScPd', 'ZrPd', 'InPd', 'LiPd', 'Sn2Pd', 'Rb3Pd', 'K3Pd', 'Mg149Pd', 'Ti3Pd', 'Mg2Pd', 'Zr4Pd', 'ZnPd', 'MgPd', 'Th2Pd', 'CaPd', 'Bi2Pd', 'Mg3Pd', 'Zr2Pd', 'Cu3Pd', 'HoPd', 'BePd', 'SbPd', 'Tl2Pd', 'Ti2Pd', 'GaPd', 'Na3Pd', 'PdO2', 'TePd', 'Sr4Pd', 'Pd', 'PdS3', 'LuPd', 'PdRu', 'Re3Pd', 'BiPd', 'CuPd', 'Sc2Pd', 'PdPt3', 'PdSe2', 'Ge3Pd', 'Ba2Pd', 'Pr3Pd', 'Te2Pd', 'PdO', 'Pm3Pd', 'Hf2Pd', 'P3Pd', 'P2Pd', 'Ca3Pd', 'Hg3Pd', 'ThPd', 'DyPd', 'FePd', 'Co2Pd', 'PdBr2', 'PdN', 'PdF4', 'Sr2Pd', 'Ti4Pd', 'Nd3Pd', 'HPd', 'Mo3Pd', 'TiPd', 'As2Pd', 'TaPd', 'V3Pd', 'Ta3Pd', 'Li2Pd', 'PdN2', 'PdPb3', 'K2Pd', 'PdCl2', 'PdI2', 'Sm3Pd', 'PdAu', 'NbPd', 'CoPd', 'PdSe', 'Tc3Pd', 'Sb2Pd', 'Be12Pd', 'AgPd', 'Eu3Pd', 'Al3Pd', 'Cd3Pd', 'LaPd', 'SiPd', 'BaPd', 'YbPd', 'NiPd', 'CdPd']"
Ag,P6_3/mmc,69.45695019121693,"['AgClO2', 'Si3Ag', 'Li2AgF5', 'La3Ag', 'AgI', 'AgPb3', 'Ag', 'Sm3Ag', 'AgAu3', 'Ga3Ag', 'Gd3Ag', 'YbAg', 'ZnAg', 'AgHg', 'AgN3', 'EuAg', 'YAg', 'AgBrO2', 'Li3AgF4', 'Ni3Ag', 'LaAg', 'AgH', 'PrAg', 'AgBr', 'Zn4AgN3', 'Ce3Ag', 'TiAg', 'In3Ag', 'ErAg', 'Ti3Ag', 'BaAg', 'Ti2Ag', 'AgPt4', 'Al3Ag', 'AgSe', 'InAg', 'CeAg', 'AgTe', 'Th2Ag', 'Zr3Ag', 'Li3Ag', 'K2Ag', 'AgCl', 'Ca3Ag', 'HoAg', 'ScAg', 'Hf2Ag', 'AgTe3', 'AgF', 'YAgSe2', 'CaAg', 'Mg3Ag', 'Ac3Ag', 'MgAg', 'Tl3Ag', 'Cd3Ag', 'Pm3Ag', 'AgC6', 'AgAu', 'AgP2', 'Na3Ag', 'Mg5Ag', 'TmAg', 'AgRh', 'Zn3Ag', 'AgPt', 'Be12Ag', 'Mg149Ag', 'FeAg', 'K3Ag', 'AgC', 'SmAg', 'AgAs', 'AgSe5', 'NdAg', 'ZrAg', 'Nd3Ag', 'Hf3Ag', 'AgN', 'AgSn3', 'Zr2Ag', 'Zn2Ag', 'GaAg', 'AgF3', 'Tb3Ag', 'Na4Ag', 'GdAg', 'Rb3Ag', 'HfAg', 'LiAg', 'Pr3Ag', 'AgF2', 'Fe3Ag', 'AcAg', 'Cu3Ag', 'AgPt3', 'CdAg', 'Be2Ag', 'SrAg', 'Eu3Ag', 'AgI2', 'AgO2', 'AgGe3', 'Mg2Ag', 'TbAg', 'Yb3Ag', 'Sr3Ag', 'AgHg3', 'AgIr', 'AgPd', 'AgSbO3', 'In2Ag', 'AgB2', 'V3Ag', 'AgP15', 'DyAg', 'AgO', 'AlAg']"
Cd,P6_3/mmc,44.61503857901331,"['CdCl2', 'Na3Cd', 'Hf2Cd', 'Tl3Cd', 'CdBr2', 'CdSe', 'Ac3Cd', 'Cd', 'CdHg2', 'Nd3Cd', 'CeCd', 'Pr3Cd', 'Ti2Cd', 'CdO2', 'CdAg', 'CdGe3', 'Rb3Cd', 'Mg5Cd', 'CdS', 'Sm3Cd', 'CdI2', 'CdAu', 'CdPt', 'CdTe', 'Li3Cd', 'Np3Cd', 'CdAu3', 'CdP4', 'Mg2Cd', 'CdPb3', 'HfCd', 'Zn3Cd', 'CdH', 'Zr2Cd', 'CdBi3', 'Zr3Cd', 'Th3Cd', 'Pm3Cd', 'Ba2Cd', 'TiCd', 'CdAg3', 'CdHg3', 'CdSn3', 'ZrCd', 'CdPd3', 'K3Cd', 'Mg3Cd', 'CdO', 'UCd', 'MgCd', 'CdPt3', 'CdPd', 'Ce3Cd']"
In,Fm-3m,26.392514730548744,"['Lu2In', 'InGa3', 'NdIn', 'MgIn', 'InF3', 'Th3In', 'Tb2In', 'Tm2In', 'In', 'Rb3In', 'Tl3In', 'InC', 'InCu', 'Mg3In', 'InBi3', 'Na2In', 'InP3', 'Pu3In', 'InRh3', 'Cd3In', 'InO', 'InBi', 'Eu3In', 'InC6', 'Ho3In', 'Nb3In', 'Y3In', 'Lu3In', 'Pr3In', 'Mg5In', 'Sc3In', 'Ti2In', 'Mg149In', 'Gd3In', 'TlIn', 'InPd', 'Mg2In', 'InAg', 'Na3In', 'Ac3In', 'LuIn', 'SmIn', 'InS', 'LaIn', 'Pr2In', 'GdIn', 'Ho2In', 'La2In', 'InAg4', 'HoIn', 'InBr3', 'EuIn', 'Gd2In', 'InP', 'InNi2', 'CdIn', 'InRu3', 'ErIn', 'YIn', 'InPt3', 'CaIn', 'InSe', 'Nd2In', 'Sc2In', 'Tm3In', 'Mn3In', 'ZrIn', 'Sm2In', 'ThIn', 'YbIn', 'InHg', 'Zn3In', 'Ce2In', 'Zr3In', 'Ce3In', 'InNi3', 'InCl', 'InCu2', 'InAs', 'InCu3', 'Dy2In', 'InCl3', 'InTc3', 'La3In', 'InSb', 'Tb3In', 'Np3In', 'InRh', 'TmIn', 'K3In', 'InTe', 'Nd3In', 'InPt2', 'InPb', 'PuIn', 'InI3', 'InSe2', 'Th2In', 'InC3', 'InAu3', 'Y2In', 'PrIn', 'InSn3', 'InNi', 'DyIn', 'InSb3', 'Li3In', 'InGe3', 'Dy3In', 'InPd3', 'InS2', 'Sm3In', 'Ca3In', 'InHg3', 'ScIn', 'TiIn', 'Ti3In', 'InPt', 'InAg3', 'Er3In', 'InN', 'InN3', 'Er2In', 'U3In', 'InH']"
Sn,Fd-3m,70.8975063415447,"['MnSn', 'USn', 'SnS', 'RbSn', 'Yb2Sn', 'Y3Sn', 'SnF4', 'Lu3Sn', 'SiSn', 'V3Sn', 'SnIr3', 'Ni3Sn', 'YSn', 'Mg15Sn', 'SnCl4', 'CuSn', 'SnRh', 'Tm3Sn', 'SnAu3', 'CsSn', 'ZrSn', 'Zr2Sn', 'SnAu5', 'SnSe2', 'Ti2Sn', 'SnSb', 'Co2Sn', 'Ce3Sn', 'SnGe3', 'Tl4Sn', 'SnAu', 'FeSn', 'SnF3', 'AlSn', 'Ca3Sn', 'Na3Sn', 'Ti3Sn', 'SnI4', 'NaSn', 'SnI2', 'CoSn', 'Mg149Sn', 'SnBi', 'TlSn', 'SnRh3', 'Tl3Sn', 'Cu3Sn', 'Mg5Sn', 'Eu3Sn', 'Ga3Sn', 'Mg3Sn', 'SnB', 'SnPt', 'SnO', 'SnCl2', 'SnTe', 'In3Sn', 'Ag3Sn', 'Zn3Sn', 'Sc3Sn', 'MgSn', 'CdSn', 'SnCl', 'SnBr4', 'SnHg3', 'Er3Sn', 'SnC', 'LiSn', 'Mn3Sn', 'Tc3Sn', 'HfSn', 'SnAs3', 'SnSe', 'Mg2Sn', 'Fe3Sn', 'SnS2', 'ScSn', 'SnO2', 'Zr3Sn', 'SnP3', 'SnPd3', 'Sn', 'Re3Sn', 'Na2Sn', 'KSn', 'SnGe', 'SnPb', 'SnPb3', 'Mn2Sn', 'Co3Sn', 'Al3Sn', 'SnH4', 'SnB6', 'Hf3Sn', 'SnP', 'SnBr2', 'Mg7Sn', 'Zr5Sn', 'SnI3', 'SnBi3', 'Fe2Sn', 'SnIr', 'SnF2']"
Sb,R-3m,62.881010949113254,"['YSb', 'VSb', 'SbF4', 'SbPt', 'PuSb', 'SbPt3', 'NpSb', 'CeSb', 'ScSb', 'Ti3Sb', 'SbS2', 'HoSb', 'Ca2Sb', 'SbAs', 'GeSb', 'DySb', 'AlSb', 'SbCl5', 'BSb', 'KSb', 'Mn3Sb', 'Ho3Sb', 'Sc2Sb', 'Ag3Sb', 'SnSb', 'In3Sb', 'NbSb', 'Mn2Sb', 'SbPb4', 'SbO2', 'CsSb', 'ThSb', 'Fe3Sb', 'NaSb', 'Li3Sb', 'ZrSb', 'Mg149Sb', 'Ni3Sb', 'SbBr3', 'Cu2Sb', 'Sn3Sb', 'Mg2Sb', 'Ti2Sb', 'MgSb', 'Sr2Sb', 'SbF5', 'LuSb', 'Sm2Sb', 'SbI3', 'NdSb', 'Cu3Sb', 'In2Sb', 'Pr2Sb', 'BiSb', 'Na3Sb', 'Sc3Sb', 'Mg7Sb', 'Ba2Sb', 'SbPd', 'RbSb', 'SbN9', 'SbRh3', 'Mg5Sb', 'Sb', 'Li2Sb', 'CrSb', 'HfSb', 'Pa3Sb', 'ErSb', 'Zn3Sb', 'TiSb', 'K3Sb', 'Zr3Sb', 'FeSb', 'SbO3', 'SbIr', 'MnSb', 'Tl3Sb', 'Eu3Sb', 'SbS', 'InSb', 'CoSb', 'Mg3Sb', 'Bi3Sb', 'Ce2Sb', 'Nb2Sb', 'PrSb', 'Y3Sb', 'Nd2Sb', 'Ba3Sb', 'Zr2Sb', 'La2Sb', 'Ge3Sb', 'SbPd3', 'Hg3Sb', 'SbF6', 'NiSb', 'USb', 'LaSb', 'Rb3Sb', 'SbTe', 'TmSb', 'SbH3', 'SbAu3', 'TlSb', 'Mg15Sb', 'SbN', 'SbPb3', 'Ga3Sb', 'SbTe2', 'GaSb']"
Te,P3_121,108.19281571621227,"['Rb2Te', 'TmTe', 'EuTe', 'ZnTe', 'YTe', 'KTe', 'TePb', 'TeO', 'PrTe', 'Eu3Te', 'Ga3Te', 'GaTe', 'TeIr', 'NpTe', 'PuTe', 'TeBr4', 'Ge3Te', 'ThTe', 'TeO2', 'BaTe', 'SrTe', 'CrTe', 'Co3Te', 'TeMo6', 'TeBr2', 'GdTe', 'CaTe', 'Te', 'TeI7', 'ErTe', 'TeI2', 'Ba3Te', 'TeS3', 'TePd4', 'BiTe', 'NiTe', 'Sc3Te', 'TeRh', 'Hf2Te', 'TeF4', 'Ni3Te', 'CeTe', 'CdTe', 'TeMo', 'TbTe', 'TeSe', 'MnTe', 'TeO6', 'Sn3Te', 'Tl2Te', 'ZrTe', 'K2Te', 'TeCl4', 'Pa3Te', 'YbTe', 'HgTe', 'TeBr6', 'Ag2Te', 'TePd', 'Cu2Te', 'SnTe', 'Cd3Te', 'Bi2Te', 'Mg5Te', 'TePt', 'Mg149Te', 'TiTe', 'TeAs', 'GeTe', 'Tc3Te', 'Sb2Te', 'FeTe', 'TeO3', 'CuTe', 'TeF6', 'RbTe', 'TeI4', 'Mg3Te', 'MgTe', 'BeTe', 'CoTe', 'TlTe', 'Ti3Te', 'InTe', 'TePb3', 'TeAs2', 'TeI', 'NdTe', 'SmTe', 'LuTe', 'ReTe', 'TeN2', 'TePd3', 'Fe3Te', 'TeO4', 'UTe', 'VTe', 'SbTe', 'ScTe', 'Lu8Te', 'Nb3Te', 'Zr3Te', 'LaTe', 'Cu3Te', 'Li3Te', 'Tb3Te', 'Mn3Te', 'NbTe']"
